iter	Logloss
0	0.6495132012
1	0.6119321031
2	0.579210685
3	0.5493936334
4	0.524295891
5	0.502060016
6	0.482582398
7	0.4660943193
8	0.4511712425
9	0.438792366
10	0.4268412698
11	0.4165894977
12	0.4079245904
13	0.4001473061
14	0.3931532826
15	0.3870297374
16	0.3820792358
17	0.3773462199
18	0.37396606
19	0.3698490919
20	0.3661997305
21	0.36286539
22	0.3599665691
23	0.3574415147
24	0.3554080721
25	0.3532433371
26	0.3516774024
27	0.3499084259
28	0.3474175306
29	0.3458223628
30	0.3443613092
31	0.3432712621
32	0.3419843299
33	0.3409140279
34	0.3400293865
35	0.3391272402
36	0.3380831468
37	0.3371969029
38	0.3365517239
39	0.335083721
40	0.3344465313
41	0.3337796968
42	0.3330480748
43	0.3325525785
44	0.3318614949
45	0.3313221958
46	0.3309420862
47	0.3304938609
48	0.3299976298
49	0.3296129259
50	0.3291494985
51	0.328723493
52	0.3284112397
53	0.3280832316
54	0.3277877032
55	0.3269188544
56	0.3262313308
57	0.3259412313
58	0.3256348359
59	0.3253954153
60	0.3251609672
61	0.3248578626
62	0.32458335
63	0.3243683657
64	0.3236282018
65	0.3232936418
66	0.3229529436
67	0.322744081
68	0.3225710599
69	0.3223738516
70	0.322184485
71	0.3215716525
72	0.3211217558
73	0.3209262202
74	0.3206957596
75	0.3204796294
76	0.319969164
77	0.3195164217
78	0.3193140246
79	0.3190809633
80	0.3188313398
81	0.3186749664
82	0.3184920862
83	0.3183632201
84	0.3179961803
85	0.3178049462
86	0.3176412747
87	0.3175049336
88	0.3171430876
89	0.3169999929
90	0.3168910585
91	0.3167851937
92	0.3166195802
93	0.3164714358
94	0.3163397369
95	0.316183769
96	0.3159729122
97	0.3158724463
98	0.3157617862
99	0.3155782211
100	0.3153025286
101	0.3151903354
102	0.3150185822
103	0.3149373588
104	0.3146889804
105	0.3144938052
106	0.3143507541
107	0.314244091
108	0.3138896413
109	0.3137414567
110	0.3135770424
111	0.3134867439
112	0.3134145734
113	0.3132844742
114	0.3132179427
115	0.3130597142
116	0.3129719325
117	0.3127325767
118	0.3125372472
119	0.3123997092
120	0.3123156106
121	0.3121456182
122	0.3120748394
123	0.3119357218
124	0.3118379852
125	0.3115932034
126	0.3114760248
127	0.3113488457
128	0.3112445127
129	0.311181545
130	0.3110992006
131	0.3108140573
132	0.310704862
133	0.310578609
134	0.3104495684
135	0.3103233805
136	0.3101778924
137	0.3100936606
138	0.310007797
139	0.3098857415
140	0.3097798337
141	0.3096914418
142	0.3094308055
143	0.3091402217
144	0.30907806
145	0.3089680677
146	0.3088783066
147	0.308742292
148	0.3085348665
149	0.3083173134
150	0.3082604488
151	0.3081891336
152	0.3081189535
153	0.308040107
154	0.3079209671
155	0.3078797185
156	0.307821517
157	0.3077394894
158	0.3075894944
159	0.3075267788
160	0.3074114438
161	0.3071639615
162	0.3071221174
163	0.3070393555
164	0.3069301075
165	0.3068428356
166	0.3067865856
167	0.3067024833
168	0.3066255824
169	0.3064982379
170	0.306327656
171	0.3062712934
172	0.3061972104
173	0.3061016891
174	0.3060431475
175	0.3059790121
176	0.3058437899
177	0.3057710916
178	0.3057261252
179	0.3056768189
180	0.3056085442
181	0.3055160947
182	0.3054542458
183	0.3053754057
184	0.3051873712
185	0.3051386543
186	0.3050893208
187	0.304949507
188	0.3048455292
189	0.3046974639
190	0.3046372436
191	0.3045684011
192	0.3044865146
193	0.304315273
194	0.304290343
195	0.3042400647
196	0.3041854609
197	0.3041024366
198	0.3040101902
199	0.3039306474
